Location,prov,Longitude,Latitude,RL50 (NBCC),RL50 (kPa),CF_0.5C ,CF_1.0C ,CF_1.5C ,CF_2.0C ,CF_2.5C ,CF_3.0C ,CF_3.5C 
100 Mile House,BC,-121.283,51.65,0.3,0.1,1.058,1.068,1.091,1.153,1.193,1.222,1.239
Abbotsford,BC,-122.329,49.052,0.3,0.9,0.944,0.858,0.734,0.633,0.549,0.462,0.389
Agassiz,BC,-121.77,49.23,0.7,0.8,0.995,0.979,0.964,0.931,0.902,0.826,0.752
Alberni,BC,-124.8,49.27,0.4,0.7,0.886,0.789,0.704,0.625,0.548,0.48,0.407
Ashcroft,BC,-121.28,50.72,0.1,0.1,1.07,1.106,1.154,1.207,1.25,1.283,1.291
Bamfield,BC,-125.13,48.83,0.4,0.7,0.835,0.718,0.629,0.538,0.455,0.396,0.338
Beatton River,BC,-121.4,57.38,0.1,0.1,1.031,1.061,1.049,1.05,1.041,1.049,1.089
Bella Bella,BC,-128.14,52.16,0.8,0.9,0.89,0.783,0.67,0.555,0.459,0.366,0.295
Bella Coola,BC,-126.75,52.37,0.8,0.5,1.01,0.989,0.996,0.981,0.952,0.911,0.838
Burns Lake,BC,-125.75,54.23,0.2,0.2,1.073,1.102,1.136,1.159,1.169,1.182,1.187
Cache Creek,BC,-121.32,50.8,0.2,0.1,1.078,1.117,1.17,1.224,1.265,1.302,1.311
Campbell River,BC,-125.24,50.02,0.4,0.7,0.972,0.902,0.85,0.768,0.685,0.596,0.508
Carmi,BC,-119.12,49.5,0.2,0.2,1.037,1.079,1.122,1.167,1.205,1.223,1.23
Castlegar,BC,-117.67,49.32,0.1,0.5,1.024,1.052,1.082,1.113,1.126,1.131,1.116
Chetwynd,BC,-121.63,55.7,0.2,0.1,1.05,1.071,1.07,1.057,1.048,1.066,1.079
Chilliwack,BC,-121.95,49.167,0.3,0.8,0.976,0.932,0.875,0.817,0.769,0.687,0.614
