Location,prov,Longitude,Latitude,SL50 (NBCC),SL50 (kPa),CF_0.5C ,CF_1.0C ,CF_1.5C ,CF_2.0C ,CF_2.5C ,CF_3.0C ,CF_3.5C 
100 Mile House,BC,-121.283,51.65,2.6,2.4,1,0.982,0.95,0.907,0.852,0.787,0.712
Abbotsford,BC,-122.329,49.052,2,1.9,0.731,0.561,0.444,0.345,0.269,0.206,0.164
Agassiz,BC,-121.77,49.23,2.4,2.6,0.832,0.696,0.581,0.466,0.377,0.285,0.211
Alberni,BC,-124.8,49.27,2.6,1.8,0.711,0.552,0.452,0.366,0.298,0.246,0.2
Ashcroft,BC,-121.28,50.72,1.7,1.2,0.993,0.98,0.959,0.926,0.878,0.811,0.74
Bamfield,BC,-125.13,48.83,1,1.4,0.714,0.556,0.468,0.384,0.322,0.268,0.223
Beatton River,BC,-121.4,57.38,3.3,2.7,1.003,1.009,1.009,1.007,0.988,0.971,0.932
Bella Bella,BC,-128.14,52.16,2.6,1.9,0.68,0.501,0.373,0.273,0.201,0.15,0.117
Bella Coola,BC,-126.75,52.37,4.5,8.2,0.913,0.823,0.742,0.641,0.543,0.44,0.327
Burns Lake,BC,-125.75,54.23,3.4,2.7,0.982,0.949,0.93,0.887,0.828,0.762,0.669
Cache Creek,BC,-121.32,50.8,1.7,1.1,1.001,0.995,0.978,0.954,0.914,0.854,0.79
Campbell River,BC,-125.24,50.02,2.8,2.2,0.717,0.556,0.428,0.328,0.248,0.191,0.15
Carmi,BC,-119.12,49.5,3.6,1.5,0.977,0.934,0.895,0.846,0.803,0.731,0.662
Castlegar,BC,-117.67,49.32,4.2,3.1,0.942,0.879,0.826,0.762,0.699,0.618,0.537
Chetwynd,BC,-121.63,55.7,2.4,2.3,1.013,1.009,0.975,0.958,0.935,0.912,0.885
Chilliwack,BC,-121.95,49.167,2.2,2.4,0.795,0.644,0.527,0.417,0.333,0.253,0.19
Comox,BC,-124.93,49.68,2.4,1.9,0.697,0.538,0.431,0.337,0.264,0.212,0.167
Courtenay,BC,-124.98,49.68,2.4,2,0.697,0.538,0.431,0.337,0.264,0.212,0.167
Cranbrook,BC,-115.77,49.5,3,2.3,0.955,0.913,0.88,0.837,0.781,0.715,0.655
Crescent Valley,BC,-117.55,49.45,4.2,3.7,0.948,0.886,0.837,0.777,0.715,0.637,0.556
Crofton,BC,-123.65,48.87,1.8,1.7,0.793,0.675,0.589,0.508,0.446,0.381,0.34
Dawson Creek,BC,-120.23,55.77,2.5,3.1,0.998,0.994,0.95,0.927,0.884,0.853,0.826
Dease Lake ,BC,-130,58.44,2.8,3.5,1.009,1.009,1.01,1.012,0.997,0.974,0.934
Dog Creek,BC,-122.3,51.58,1.8,1.3,1.025,1.017,0.996,0.982,0.957,0.923,0.867
Duncan,BC,-123.7,48.78,1.8,2.4,0.769,0.632,0.559,0.479,0.412,0.352,0.312
Elko,BC,-115.12,49.3,3.6,2.1,0.951,0.908,0.866,0.819,0.757,0.69,0.629
Fernie,BC,-115.07,49.5,4.5,2,0.957,0.924,0.892,0.852,0.794,0.732,0.675
