Location,prov,Longitude,Latitude,WP10 (NBCC),WP10 (kPa),CF_0.5C ,CF_1.0C ,CF_1.5C ,CF_2.0C ,CF_2.5C ,CF_3.0C ,CF_3.5C 
100 Mile House,BC,-121.283,51.65,0.27,0.19,0.996,0.996,1.012,1.02,1.039,1.049,1.06
Abbotsford,BC,-122.329,49.052,0.33,0.27,1.008,1.024,1.047,1.078,1.095,1.099,1.097
Agassiz,BC,-121.77,49.23,0.35,0.25,1.019,1.032,1.056,1.093,1.125,1.137,1.141
Alberni,BC,-124.8,49.27,0.24,0.28,1.011,1.018,1.036,1.052,1.08,1.089,1.107
Ashcroft,BC,-121.28,50.72,0.29,0.28,1.016,1.03,1.048,1.081,1.121,1.136,1.16
Bamfield,BC,-125.13,48.83,0.38,0.44,1.007,1.01,1.029,1.044,1.068,1.072,1.084
Beatton River,BC,-121.4,57.38,0.23,0.26,0.997,1.003,1.011,1.006,1.017,1.019,1.038
Bella Bella,BC,-128.14,52.16,0.4,0.5,1.004,1.026,1.045,1.069,1.079,1.096,1.105
Bella Coola,BC,-126.75,52.37,0.29,0.48,1.037,1.082,1.115,1.151,1.18,1.226,1.247
Burns Lake,BC,-125.75,54.23,0.29,0.21,1.008,1.018,1.033,1.051,1.062,1.077,1.096
Cache Creek,BC,-121.32,50.8,0.29,0.28,1.014,1.027,1.042,1.07,1.105,1.121,1.142
Campbell River,BC,-125.24,50.02,0.41,0.33,1.013,1.025,1.054,1.079,1.109,1.122,1.14
Carmi,BC,-119.12,49.5,0.29,0.21,0.997,1.005,1.006,1.012,1.018,1.019,1.015
Castlegar,BC,-117.67,49.32,0.26,0.19,0.994,0.995,1,1.005,1.014,1.013,0.997
Chetwynd,BC,-121.63,55.7,0.3,0.24,0.989,0.979,0.982,0.985,0.999,0.994,0.993
Chilliwack,BC,-121.95,49.167,0.35,0.23,1.012,1.024,1.046,1.08,1.104,1.111,1.111
Comox,BC,-124.93,49.68,0.41,0.38,1.019,1.03,1.059,1.08,1.109,1.12,1.136
Courtenay,BC,-124.98,49.68,0.41,0.38,1.019,1.03,1.059,1.08,1.109,1.12,1.136
