Location,prov,Longitude,Latitude,HDD (NBCC),HDD (degC-day),CF_0.5C (degC-day),CF_1.0C (degC-day),CF_1.5C (degC-day),CF_2.0C (degC-day),CF_2.5C (degC-day),CF_3.0C (degC-day),CF_3.5C (degC-day)
100 Mile House,BC,-121.283,51.65,5030,5030,-240,-450,-680,-890,-1100,-1280,-1470
Abbotsford,BC,-122.329,49.052,2860,2860,-220,-410,-600,-760,-920,-1060,-1200
Agassiz,BC,-121.77,49.23,2750,2885,-230,-440,-640,-820,-1000,-1160,-1320
Alberni,BC,-124.8,49.27,3100,3080,-220,-410,-600,-770,-930,-1080,-1220
Ashcroft,BC,-121.28,50.72,3700,4520,-220,-420,-630,-810,-1010,-1180,-1360
Bamfield,BC,-125.13,48.83,3080,3070,-200,-390,-560,-720,-880,-1020,-1160
Beatton River,BC,-121.4,57.38,6300,6275,-280,-510,-740,-960,-1170,-1370,-1570
Bella Bella,BC,-128.14,52.16,3180,3125,-230,-450,-660,-850,-1030,-1190,-1360
Bella Coola,BC,-126.75,52.37,3560,3580,-290,-550,-810,-1060,-1290,-1520,-1740
Burns Lake,BC,-125.75,54.23,5450,5525,-270,-510,-750,-970,-1200,-1410,-1620
Cache Creek,BC,-121.32,50.8,3700,4600,-240,-440,-660,-860,-1060,-1250,-1440
Campbell River,BC,-125.24,50.02,3000,2975,-230,-430,-620,-800,-970,-1120,-1280
Carmi,BC,-119.12,49.5,4750,3825,-250,-470,-700,-910,-1120,-1320,-1520
Castlegar,BC,-117.67,49.32,3580,3585,-220,-410,-610,-790,-980,-1150,-1310
Chetwynd,BC,-121.63,55.7,5500,5490,-270,-490,-710,-920,-1130,-1320,-1510
Chilliwack,BC,-121.95,49.167,2780,2795,-230,-430,-630,-800,-970,-1120,-1270
Comox,BC,-124.93,49.68,2930,2975,-220,-420,-610,-780,-950,-1100,-1260
Courtenay,BC,-124.98,49.68,2930,3015,-220,-420,-610,-780,-950,-1100,-1260
Cranbrook,BC,-115.77,49.5,4400,4395,-230,-440,-650,-840,-1040,-1210,-1390
Crescent Valley,BC,-117.55,49.45,3650,3580,-250,-470,-690,-890,-1110,-1300,-1480
Crofton,BC,-123.65,48.87,2880,2790,-210,-400,-580,-750,-920,-1070,-1220
Dawson Creek,BC,-120.23,55.77,5900,5825,-260,-470,-690,-900,-1100,-1280,-1460
Dease Lake ,BC,-130,58.44,6730,6705,-290,-550,-810,-1060,-1310,-1560,-1810
Dog Creek,BC,-122.3,51.58,4800,4750,-220,-410,-600,-790,-970,-1130,-1300
Duncan,BC,-123.7,48.78,2980,2875,-200,-390,-570,-740,-910,-1060,-1210
Elko,BC,-115.12,49.3,4600,4620,-230,-440,-660,-850,-1050,-1230,-1410
Fernie,BC,-115.07,49.5,4750,4805,-250,-470,-700,-910,-1130,-1310,-1500
Fort Nelson,BC,-122.7,58.83,6710,6510,-280,-510,-730,-960,-1170,-1370,-1570
Fort St. John,BC,-120.85,56.25,5750,5830,-270,-500,-720,-940,-1140,-1340,-1540
Glacier,BC,-117.52,51.27,5800,5800,-290,-540,-810,-1060,-1320,-1550,-1790
Gold River ,BC,-126.05,49.78,3230,3265,-230,-430,-630,-810,-990,-1150,-1300
Golden,BC,-116.97,51.3,4750,5215,-270,-510,-760,-980,-1220,-1440,-1650
Grand Forks,BC,-118.45,49.03,3820,3825,-200,-390,-580,-750,-930,-1090,-1250
Greenwood,BC,-118.68,49.1,4100,3835,-230,-430,-640,-820,-1020,-1190,-1370
Hope,BC,-121.44,49.38,2820,3180,-250,-470,-700,-900,-1100,-1280,-1450
